策略名称,最终市值,总收益率,超额收益
买入持有,5226324.910905874,422.63249109058745,0.0
趋势策略-EMA,1010074.7880946619,1.007478809466189,-421.62501228112126
极简趋势,1008737.4410510488,0.8737441051048789,-421.75874698548256
原策略-20/60,1007313.3398655265,0.7313339865526514,-421.9011571040348
优化策略-5/20,1001118.6619902228,0.11186619902228134,-422.52062489156515
