策略名称,最终市值,总收益率,超额收益
几乎买入持有,6067296.153530644,506.7296153530644,84.09712426247694
买入持有,5226324.910905874,422.63249109058745,0.0
永不卖出,5181118.760122807,418.11187601228073,-4.520615078306719
极简趋势,3111344.4806486927,211.13444806486928,-211.49804302571818
原策略-20/60,2608866.126341491,160.8866126341491,-261.7458784564384
