策略名称,最终市值,总收益率,超额收益
买入持有,5226324.910905874,422.63249109058745,0.0
类买入持有,1008297.344585345,0.8297344585344923,-421.80275663205293
原策略-20/60,1007313.3398655265,0.7313339865526514,-421.9011571040348
长期趋势,1007235.8264708305,0.7235826470830542,-421.9089084435044
激进趋势,1006393.0780274759,0.6393078027475907,-421.9931832878399
